"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"L-CA1","Freesurfer Long",0.184001873679483,0.199826347535526,0.218575556823198,0.231411961115403,0.243927584197129,0.272163094131785,0.354104634039413,0.0189355633440808,0.762407425532355,0.846657588838636,0.931619335659586,0.991705901968711,1.05683815317344,1.18369165659425,1.39570135410931,0.0886350472724575,0.217051381538875,0.387049016313099,1.381887944873,2.370967380924,4.23744101611176,15.6637648120236,31.0511740790626,3.79469518957039,2.78665786253362,3.41683314346011,3.94747064985869,4.31373470826128,4.65735072160407,5.45500463251558,6.8638189234763,0.521562861573071,4.28600285518271,5.75180113582894,10.2563970136531,14.4869702120247,23.0850460195496,70.4756754994719,145.782901513183,16.5818397965961
"L-CA2-3","Freesurfer Long",0.146383158819211,0.167134131896274,0.183420121856548,0.193633000075391,0.202218382985474,0.225526337621106,0.277208686579158,0.0155471238095922,0.751819041110693,0.849246660271937,0.940981428607622,0.99522944413674,1.05469402887237,1.18464858153578,1.4620684966935,0.0850381383491333,0.170028677118965,0.287150114327342,2.16559686478536,3.9170183931037,6.80503239230045,16.3934401804758,29.0397415456007,4.1759683380601,3.60435594363033,4.10663684888012,4.78689114386945,5.16831051050215,5.53951059548081,6.43659783230866,8.35875455321316,0.594000014253407,4.79371753147497,6.67193067852602,16.4373339707042,25.3795665463042,40.7616657093868,89.9395759807522,167.533256177899,22.1090851989301
"L-DG","Freesurfer Long",0.217393560366598,0.242421926143059,0.266624053329246,0.280921345827891,0.296350352507174,0.329605475109149,0.391026615642662,0.0220461233997036,0.73990361239208,0.825293599445963,0.926739736374325,0.981718520315366,1.04139639132333,1.17038935212937,1.37261566439932,0.0871819750905864,0.230875277535102,0.529727626694065,1.79617987106565,3.48159818274707,7.39571815622486,49.7828410056241,137.209452188468,12.9926452588292,2.19144665681883,2.72961952392847,3.23123845205125,3.5060766849404,3.75638424586264,4.42364902212511,5.2476075618295,0.412230112406349,3.34844549847392,5.36544440286148,9.79132398672297,16.0471967216908,30.0928429231198,178.601677231402,457.667686367204,46.2714816391516
"L-SUB","Freesurfer Long",0.161616994743441,0.179866812496198,0.198352992073422,0.209499279940986,0.220428893062798,0.243771676210853,0.282060700731658,0.0165328009363559,0.758223799815838,0.863477019489548,0.936940705073593,0.990292516799859,1.05291389187829,1.1811370188002,1.43235206664525,0.0852662626461402,0.31980298546508,0.9803365447935,2.83538599012113,4.24952339426206,8.03382728453924,29.0596719318724,74.4743238831974,7.44667436634473,3.17899031202106,3.84770768041537,4.37816820823741,4.73331345505131,5.14268082666055,6.03135307144714,7.20193029417422,0.566510246150939,5.93192534222675,9.29418965704984,18.0833411760499,25.2696023427665,42.9355045459055,146.980867306715,422.846741058354,36.3854277874733
"R-CA1","Freesurfer Long",0.210872538695749,0.233796307141275,0.254982923501047,0.268763112350152,0.282568218616041,0.314399056577246,0.359922226224458,0.0209854551106657,0.711797748912308,0.823311443376119,0.908458504627558,0.960611533693192,1.02187713718871,1.14835109062194,1.3363461468483,0.0842255075269785,0.272562196749463,0.515135044009859,3.18710124638748,5.00996176583479,8.48396151065764,26.472420475423,51.1726884120511,6.33850058453587,2.22380855861502,2.82996937035669,3.29918408754329,3.59148987897284,3.8842514653907,4.48357121676952,5.37118353352947,0.421552279971439,3.87535119255955,5.45585571439159,15.3008367180655,22.2304539969009,35.0727640894828,101.530376207608,174.150304480863,23.6830371379821
"R-CA2-3","Freesurfer Long",0.191208584059444,0.212532464759921,0.232139489535769,0.243777257364558,0.25690612677855,0.285976162115796,0.331180114388391,0.0189440834695413,0.724419800971963,0.830663816716803,0.9257636851668,0.971804249285336,1.02889562935244,1.16552766510875,1.40260247257888,0.0842724595959009,0.351012660474248,0.774271757620282,2.03868772841927,4.38179463180601,9.13956330303921,70.0510540140585,144.596073337273,18.648916528749,2.64399365013666,3.17953972430446,3.69060928948728,3.98596613364177,4.31144549395515,5.01333665560434,5.8353383193534,0.472749880967777,4.94043625237605,6.99547593275883,12.3151494295593,21.7492363603626,40.7082833654108,297.554157943967,646.486568647246,76.3757686879883
"R-DG","Freesurfer Long",0.203566436022719,0.228436696182547,0.252245194457976,0.265058990733067,0.278032992508932,0.307485183123462,0.347070700119813,0.0201959413230493,0.731677736146406,0.824613931159801,0.910115605902437,0.963679467071879,1.01456599154818,1.14313931251907,1.30746482965302,0.0800852434130746,0.257507353244481,0.442170721649175,1.45409233415852,3.59806279982915,7.37858704249851,21.0047545422012,47.1052392182289,5.72718336482344,2.497926020478,2.94144177146205,3.37662891517769,3.63969626834333,3.90547140302673,4.57641103819461,5.71658516519694,0.414254127836499,3.6725933428861,5.21205542788886,9.24852535779953,17.0046668227494,31.7093949364777,84.0354594974251,196.347245240766,21.9377429945929
"R-SUB","Freesurfer Long",0.199474280247557,0.213540831350287,0.232784178512352,0.246473308675328,0.259747944158107,0.287900224868679,0.332112137284856,0.0196296891633023,0.741560764217076,0.848303025979254,0.935085845827697,0.99417820088345,1.04956120446492,1.18030828901696,1.37344433025052,0.0852780380606926,0.107568674608588,0.14753414011732,1.02326810888469,2.01410968717344,4.09805677237714,20.4948706405884,44.4462305647392,5.21221896247447,2.56978237938056,3.21373013280837,3.74401175487065,4.04309849300796,4.34331437497251,5.02706316693269,5.72633393405898,0.458975080297645,3.11949556498371,4.46378350167206,8.21457307083406,12.2183592680354,20.4138795461623,87.1792290852371,168.902075600432,21.1226369469988
