1102.059,1101.735,1105.137,1483.731,1469.718,1445.364,1442.529,1430.028,1426.464,1194.993,1182.681,1177.983,1228.392,1212.219,1228.743,1412.478,1450.035,1441.098,1134.216,1096.470,1097.550
16.497,16.065,16.227,18.981,19.305,18.819,19.413,20.601,20.790,9.342,8.991,9.450,19.251,16.983,17.253,14.877,15.309,14.688,13.932,14.418,14.013
721.278,724.113,743.013,931.176,910.818,910.845,1041.849,1037.124,1018.737,665.361,644.625,653.481,712.638,706.077,700.596,851.418,851.985,857.142,744.498,712.503,720.657
57.375,64.044,61.128,76.005,77.220,75.600,74.493,81.864,82.620,44.658,44.577,45.225,61.992,62.181,62.370,81.864,85.968,84.537,51.327,50.490,50.166
98.091,95.715,99.063,239.139,243.621,242.406,135.162,135.783,135.945,191.430,194.832,183.546,161.136,150.660,157.032,194.778,200.664,194.562,165.213,147.771,147.555
405.837,397.602,396.090,474.552,472.581,468.990,419.742,432.216,432.054,480.519,489.753,489.240,435.429,434.808,437.292,407.079,417.042,418.716,398.925,379.350,381.078
461.997,489.699,491.697,578.421,580.392,562.518,542.106,678.240,640.359,528.876,560.601,554.580,593.811,534.330,572.535,565.785,543.591,533.493,455.571,420.903,406.890
507.465,527.364,533.655,552.096,551.178,510.003,659.988,692.550,693.144,599.832,577.881,574.641,586.386,509.517,582.579,507.978,493.371,496.611,417.609,372.087,362.610
1746.954,1761.021,1830.465,2594.808,2699.244,2593.566,1752.840,2042.658,1965.114,2096.631,2152.008,2048.004,1612.872,1341.414,1629.531,1696.599,1770.471,1706.130,1627.290,1429.083,1387.179
1186.920,1163.268,1165.320,1053.000,1005.372,1009.881,1103.922,1106.460,1106.082,925.614,893.538,897.777,970.785,966.114,953.397,1042.902,1071.819,1073.628,866.997,822.042,826.119
451.170,460.350,461.106,309.123,291.951,273.699,461.322,469.287,471.744,391.527,336.420,345.195,264.816,238.815,264.411,355.185,344.034,346.059,263.304,218.727,221.076
