"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"L-CA1","ASHS Xs",0.407825197370106,0.438318813847093,0.483991412333663,0.513459899645121,0.532652734587994,0.5807535073252,0.657002903733004,0.036559437763663,0.577042190356259,0.725106060842584,0.794608721138208,0.856879656213511,0.951213107574165,1.03977331430206,1.43167249200689,0.0953294819632919,0.235362820029168,0.682002476849388,1.60951660828518,3.76746140094974,6.20215336818069,19.082515188417,45.1408471608608,4.94182158881394,1.09910529434284,1.35022235020852,1.54581469053216,1.71210638664458,1.875960797,2.14324222907452,2.76372765986415,0.216454254211281,1.94651502969444,3.0284938798336,4.9309194358062,8.95944753909306,13.9719643228657,40.4082650471677,94.5282070277233,10.1502280555875
"L-CA2-3","ASHS Xs",0.360757650277273,0.402965597711547,0.433624109971344,0.461731993508077,0.493137751237649,0.540740890681707,0.616068999520221,0.0376792663262039,0.674791234126469,0.74039786018135,0.838516827653418,0.896858286858939,0.939733285486379,1.06226355330889,1.24500952875849,0.0829287201789106,0.412038162277636,0.850650804952756,1.78005725403465,3.73000180036546,7.18753790552313,25.5748587897774,64.511058402601,7.78737519301959,1.23927892301468,1.47440236561036,1.77339125424544,1.94243230235724,2.13925061545731,2.41756143759839,2.79230014200608,0.260928444846077,2.51162965251017,3.78605098805082,6.12262368872369,9.85094837980257,17.1735964124855,57.8837697898829,151.128528995669,16.2399596809379
"L-DG","ASHS Xs",0.598612682361624,0.675342561361353,0.731471498065148,0.779491997078102,0.813471422755276,0.904012397305134,1.10320772148585,0.0589110882319019,0.16301489394432,0.467287923657361,0.56659258468927,0.648258070014033,0.717803778490548,0.84347918084989,1.04967659657268,0.101694305326025,0.426606868228989,0.476636406991768,0.87221338630307,2.01501994122553,6.20327208803143,12.4717843133874,20.9962035654197,3.98244346779235,0.147764460644605,0.550313659586353,0.705205097055709,0.833607008683522,0.964111494558435,1.17913688345687,1.46049057715609,0.168679151313599,1.09131360124346,1.25114443143846,1.93000152674001,3.48314585914373,9.01176820668001,17.4802230488902,28.7872790885292,5.42150609373799
"L-SUB","ASHS Xs",0.321964736173903,0.392410844731155,0.418684694241133,0.442019439955743,0.473259411927603,0.526865019995062,0.629612137585016,0.038188203292457,0.688644132020219,0.782128208879091,0.885148637029147,0.942380556554502,0.992207132410069,1.09712051873588,1.28514075303142,0.0803020972762636,0.315711628563778,0.837466315346116,1.72712862260934,3.89420877480628,11.520959693082,23.4713019235596,41.5813147581736,7.91145698264573,1.2702609277854,1.61573075767231,1.91441350477935,2.12852519723529,2.30642350920105,2.64185207165267,3.07160142555994,0.283925691876606,2.24090335427644,3.73568861759724,5.9261680178264,10.6818439945423,27.2587173222903,58.8255866358102,96.4007066747232,19.1187489539739
"R-CA1","ASHS Xs",0.458908935395543,0.536004628499052,0.581146197921363,0.604876801485562,0.6446664535559,0.719271976766295,0.816833822806505,0.0471831309894791,0.498770561047042,0.643692104128578,0.72126042207924,0.801205812725841,0.863810213073171,0.967017871787713,1.14359518869824,0.0888858915659908,0.163167753868625,0.353115504791931,1.0366882841549,2.8388392544645,4.05430085626593,13.0456908445635,25.5075958078623,3.42229952157614,0.652015275221836,0.924496434178565,1.17216056190539,1.31420447960287,1.44845882652566,1.67226998310051,2.06619465897582,0.189469361489456,1.2886749260723,1.72996763214465,3.00386046255497,5.89903933027297,8.23326958993492,22.7655015619202,49.8703619817143,5.63996089457026
"R-CA2-3","ASHS Xs",0.42699644981412,0.48182632452759,0.529858780877788,0.545382056268378,0.57037080897667,0.639899866280671,0.722529440653921,0.0382412059594992,0.586714931123219,0.718769774752241,0.774778588672701,0.838877928663268,0.901927648135128,1.04157543834871,1.27198438574448,0.0883190167347607,0.286673880505362,0.781713816664063,2.54089391565871,4.20796559907129,7.48672337317036,19.7622330460312,50.8746565921689,5.03287225480636,0.888886895251085,1.20752627600855,1.40614920356661,1.50845316244084,1.66273471097706,1.99995822086865,2.37559898920131,0.201340868198744,1.91984572258939,2.95494512541198,6.08770231550222,9.20170288616596,15.1902927073411,37.3469332976953,94.7257690911886,9.15557316529184
"R-DG","ASHS Xs",0.415333102549208,0.452707565784149,0.48537674220164,0.507590598365056,0.530651073100199,0.595111098768494,0.683854202687192,0.0377900785777478,0.646294529927582,0.704170583650539,0.824150247220197,0.893605505957345,0.947347006317034,1.07479242349064,1.18762271659445,0.0937513896648538,0.439533517080107,0.837564381800674,3.14959498548664,4.4313452022602,7.81108577130619,25.103497094034,50.4872691366869,5.78983271154506,1.09246692042045,1.32853071060665,1.57309643266475,1.74686112349824,1.86343672417692,2.23361067734076,2.5514255480568,0.212184046988905,2.30008870409226,3.3434453339948,7.80148452198896,10.6204749961899,16.8846914112526,48.7829297692661,98.0412166155055,11.1713489346417
"R-SUB","ASHS Xs",0.312706581345869,0.344493913287165,0.369270736577484,0.393456795422072,0.411730219236045,0.463758857194506,0.542445419167432,0.0306251728861684,0.690247227023563,0.796144954167137,0.890484387632715,0.974074177974989,1.02567012930518,1.1040085365977,1.37420132705447,0.0850928371065504,0.236113572596085,0.513738307478943,2.462326283986,4.09999293293313,16.0680756534754,41.6552306442335,85.6896439466069,10.4795306869924,1.46112801775596,1.8711791835485,2.25803082194692,2.46793198025571,2.6587977624193,2.96987927137623,3.75957811939023,0.288668818320799,2.44679400604545,3.76283898284305,8.48588821713373,12.9797902731248,43.1815123491058,107.384502579253,227.669776667309,26.3955344483708
