"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"L-CA1","Diet LASHiS",0.399984551066672,0.435556739581602,0.478830273381667,0.504431448812646,0.530863578403135,0.587493700988416,0.68927324422952,0.0393939158578505,0.626390810154401,0.717474197614236,0.8191228836753,0.878316052997339,0.931752642123345,1.07221713836185,1.26778324660144,0.0883330602217587,0.508188119941392,0.820041238228622,2.04232285867733,4.00227559419948,6.88413460840937,48.2409271697074,94.474885189244,11.9784188161595,1.06560989021354,1.31472868005645,1.6011137784296,1.7280208229425,1.89548389773303,2.27588496916238,2.76674649950325,0.236686747977182,2.27513465643417,3.20283653047849,5.8031082453321,9.64006226331901,15.3737132311129,97.5689636794363,178.468232967753,23.8383669667119
"L-CA2-3","Diet LASHiS",0.359900076529656,0.399627223043283,0.436061056044339,0.461522302649456,0.49257909934103,0.552338583543482,0.666667511856169,0.0409266830150376,0.669854286747341,0.764803304730008,0.856070024710979,0.9131012703329,0.967421113101272,1.09151184071259,1.29922696647824,0.0839234573261744,0.333038385376948,0.493245866561511,1.53728349076951,3.08971447130748,6.25773991993053,20.5434815243364,50.7565396155574,5.46918203533747,1.12100533516298,1.50429983439112,1.78439958352197,1.97735081663791,2.16108530626666,2.52520356817357,3.11429708306611,0.263101001391657,2.29140405628827,3.03584636501305,5.27283648103804,8.97398002763997,15.6357756571549,47.6972243433745,111.831579549574,12.007305659088
"L-DG","Diet LASHiS",0.561936699075192,0.615374373910075,0.694511552381622,0.735998906197099,0.778632135264615,0.861243776167947,1.00948443487385,0.0639437276541019,0.339007750564796,0.517628337400036,0.641039408204668,0.711463474230094,0.760502228989155,0.887966172313955,1.05535779380616,0.0930137735857016,0.215702760552146,0.452080871743204,2.20018066150717,4.9776970891179,9.9111562688658,19.8174542422617,30.8355762689818,5.47796226405904,0.384751439942672,0.638975652063976,0.849675910429475,0.950568091643148,1.07993525863903,1.29977232226617,1.60512874345,0.171922857829526,1.06906237912937,1.58047307446016,3.89672443938964,7.72333051433977,14.5547074695455,28.2299070824449,47.6104686622853,7.54374484261569
"L-SUB","Diet LASHiS",0.586756366533859,0.652167576549054,0.711280020616956,0.7541153659426,0.791708120463932,0.891298420852581,1.06336166318078,0.062202969236454,0.171887313848275,0.468278655223165,0.618161854075623,0.67080039092593,0.73515989870301,0.867779234276924,1.01664851096184,0.0996367928229761,0.10701344249384,0.203809173474422,1.45334638119307,3.16460562405971,5.31060070241119,17.972703322773,58.8718382296477,4.88193902631109,0.171113511333316,0.564134429875863,0.795553431055221,0.901858574122076,1.01675311977887,1.23186866284971,1.45668265787515,0.170150082848411,0.772929371663734,1.1456165675622,2.83311203305607,5.31375732867903,7.93071081198076,24.4767076766639,77.7191240227283,6.51107280514242
"R-CA1","Diet LASHiS",0.555101678418711,0.62891283689777,0.688113382384161,0.720918127570204,0.76837839803793,0.858043945881171,0.96550954554949,0.0597898704174571,0.369897005634423,0.526340437805465,0.664085240608955,0.723070171191056,0.784624153379951,0.914285424737717,1.25636346489441,0.0966533782613043,0.114301493147517,0.34334853972322,1.00521494334742,2.37951911455506,7.26489728037902,20.693388432136,36.9346203094964,5.72688923049941,0.409830548150723,0.64807841933949,0.888387378063337,0.988820294325538,1.10589861403615,1.37824349885281,1.9876386520852,0.17572414298609,0.768019641259998,1.44399482866192,2.33742409494826,4.24649533177714,11.0915700475131,29.9003548052475,56.1529853813473,7.98415908034921
"R-CA2-3","Diet LASHiS",0.478972105121107,0.514052965924055,0.570198465682796,0.59871625794642,0.628202292284649,0.702105216449057,0.904510765151522,0.0465696675967842,0.562836623367952,0.663566862608104,0.76848341677627,0.819792807960561,0.886475376338835,1.01122677773542,1.28956634803671,0.0893490088013473,0.395259601199774,0.531542533143761,1.93219933491974,3.87949129550143,6.22301715500486,20.2883875110365,33.6915964317867,4.94088362692116,0.82356327721738,1.00965083675048,1.25459416140849,1.36926184191935,1.51484782707306,1.79529600320686,2.34308304748247,0.200110729720213,1.64389498908865,2.21850785633333,4.584826927151,7.85195091093101,11.8893199036069,34.8485456783807,61.478516528576,8.29053184438802
"R-DG","Diet LASHiS",0.382437984619272,0.41682878112366,0.450886539446743,0.47673938405222,0.503853519329778,0.555769773627027,0.638104542697265,0.0373859816472177,0.666196816767675,0.758011216750996,0.851449769211445,0.910228309220472,0.975747533419952,1.10117281603408,1.26443471417773,0.0868235806308753,0.0900379561225642,0.23755770371258,0.773906194731055,1.69527772118339,3.29104668271046,7.29336330088302,15.5874988450598,1.92975048601661,1.19904908861715,1.46490552652904,1.76002114098273,1.89881605581776,2.07800008519543,2.42250814436051,3.04260045005705,0.248831738451872,1.7881172543991,2.41435160916118,3.61513530285224,5.4896623749164,8.75743593348422,16.9631856759131,35.6800573303698,4.04027646446073
"R-SUB","Diet LASHiS",0.645994967265507,0.71021019298526,0.774451578390448,0.819683694931908,0.866277813943404,0.960870284165218,1.08851667731425,0.0650234530256207,0.243788047529614,0.380095869353643,0.516743257829791,0.579652824553617,0.656577791799177,0.777428410692946,0.97718300641011,0.104190617703849,0.0377004355656832,0.0433738551249799,0.499729391920284,2.95419517398822,5.38517022534003,24.6739585346635,43.3323389825356,6.22835497271535,0.24398235287263,0.419073204833349,0.614451479364094,0.707864170149576,0.826241744928882,1.0136478036967,1.36680988159794,0.158983315049277,0.317728751711793,0.63941546022857,1.23603877652807,4.23987342129642,7.45127457107165,31.0638071592219,56.3327266380445,7.6426357498887
