"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"L-CA1","LASHiS",0.194078645280904,0.21331731806667,0.234563032160805,0.247699817499026,0.259873480963026,0.293022666921362,0.336803711623932,0.0197213643017339,0.729462245256385,0.84450186282613,0.935710015147516,0.995857162082818,1.04607231697632,1.17916087779765,1.5093606056484,0.0851900413395591,0.409918229704481,0.749271031749454,1.78549776129104,3.17024582880898,5.73325779597821,14.7277946338726,29.3036052065626,3.66520133989205,2.60167722539096,3.08132201984066,3.73368987589484,4.02171774640049,4.32609150839536,5.08187944557424,6.15937362825033,0.479236304139033,5.21967604516312,6.88444710959971,11.2651376608624,16.9892353744505,27.225754231271,64.9530860226561,136.929994797799,15.1301276585725
"L-CA2-3","LASHiS",0.171589577149017,0.187729588001554,0.205770941308432,0.216128729265193,0.228495375166331,0.252743306847619,0.314355832747351,0.016612449117133,0.727353483980896,0.865038003364585,0.951032863515933,1.01003321387703,1.06292155463319,1.18645148744577,1.45440696723866,0.0832442937965255,0.27431995066299,0.723958793809662,2.99164927727899,5.74867546740249,11.9499588106798,34.12491947857,57.2092128237418,9.17389780435026,2.90228648811037,3.71250296915092,4.26279550913501,4.65218683999241,5.06330039094428,5.75291979367462,6.90181632233364,0.53463641611537,4.91609634601584,7.78371671050823,18.4742365990313,30.5479765204091,59.4042801785165,162.954328628244,278.039277964202,43.3956187406338
"L-DG","LASHiS",0.216641762836545,0.24518625124545,0.269302768289104,0.279846921757845,0.297974880263677,0.337246970014801,0.429058604588582,0.0227824599103974,0.72861291664526,0.82774331085088,0.919585057281484,0.978187267394962,1.03952331290837,1.16583302163074,1.4796061819671,0.0867912748946422,0.22804733749053,0.376142837776985,1.24546973014436,2.64950947923248,4.66605325212292,16.1435212365918,30.4704149004685,3.96082990469797,2.00050860112011,2.74926679417511,3.22420532832202,3.4542959894291,3.75683131297245,4.36469986411579,5.72879224533577,0.410280324817838,3.50811647851987,4.67308556358475,7.79444892273578,12.985686188868,19.9376640464743,61.4678815490306,121.363659656935,14.3357649707751
"L-SUB","LASHiS",0.212166054280447,0.242202968154839,0.26470680580818,0.278028454277468,0.291940767633871,0.327369337408199,0.371631750424864,0.0211700784109011,0.736453916424692,0.854271535716783,0.950726360282822,1.01025475839611,1.07176297494934,1.20501269697714,1.39179090207559,0.0884813468737143,0.399261001658558,0.572824633659387,1.53394217171525,3.83787955013136,8.56091019163241,68.7856426232868,96.8248148655017,14.5858440352038,2.33884294772395,2.83241808228677,3.35244537237562,3.64594737927089,3.92827704868295,4.47010057394695,5.17651702426771,0.416462831600864,4.24532111177867,5.45883793494721,9.05798076579599,17.5922756017748,34.4411308691031,254.895306080983,379.973875187016,53.324199405507
"R-CA1","LASHiS",0.192063333261787,0.21607836045862,0.235176080252628,0.246276258151086,0.259967251144279,0.291156278454341,0.334631077723836,0.0189497246547732,0.768468564301986,0.847311566083341,0.958233401507775,1.01627450257981,1.07285049299847,1.19499388605489,1.40430537350632,0.0879859365487556,0.238751603320255,0.253114785006992,1.89467425487107,3.53728819938562,6.24371729246527,30.1112140333211,104.763692806942,10.1502822357095,2.58266526428085,3.21949114302081,3.79888471544538,4.12645933650874,4.41225540319868,5.11470191083682,6.01418294812484,0.482500342110084,4.32460385484916,5.39099105532574,11.6877571125778,18.0201831151023,29.618397814992,131.272973517639,454.879742935037,41.0429980181862
"R-CA2-3","LASHiS",0.192169288963316,0.212952883229969,0.233648773676716,0.245937881658745,0.260028529374702,0.286353299290924,0.341655919580518,0.0191789798375063,0.731806892372181,0.847926152254636,0.922768143431107,0.984044618655311,1.04907267355978,1.1796910634726,1.39363431945614,0.0889254785692834,0.482058936032427,0.64336875004478,1.30073931340318,2.37977435460895,4.27629891107295,11.3872495953153,38.8316103966077,3.42853720904442,2.56679547130255,3.21482145440807,3.69840198166725,3.98978028878206,4.35854132338111,5.05420469184791,6.0418414341868,0.473804891366787,5.09087549488293,6.17309271391651,9.27176215571196,13.6282937933365,21.3941549700152,48.2848625434367,175.939950119994,14.2624748809143
"R-DG","LASHiS",0.115488559667728,0.126289002974531,0.139614206832335,0.147996275093672,0.156486246808387,0.173958563245249,0.202132295074257,0.0120415715480235,0.784319689978146,0.876012780114483,0.969395558109738,1.02433946441848,1.08513077627809,1.22234422857992,1.39938455517684,0.0878648953879061,0.24863269255932,0.351285097446388,1.36600157781075,2.82573282950507,7.22797900126539,41.3981297588671,109.128313619802,10.4880282806338,4.54731491134509,5.53047571813466,6.42248687900088,6.96132959190417,7.45604482366679,8.76810147797021,11.2594433284853,0.812123390621154,7.34339625647183,8.85539203218347,15.8665372419712,26.6125838430575,55.8402919888882,285.111913701501,770.892114880568,71.3337570728834
"R-SUB","LASHiS",0.198491697606428,0.222997464669223,0.2446024106198,0.257400356933632,0.269370079200776,0.299732403650109,0.346068503013576,0.0192430514648127,0.726078074424587,0.824454680287353,0.901433477393596,0.95994979128725,1.01475003645364,1.1418478687005,1.32957981843101,0.0847251421984007,0.0687402017407909,0.131453940420211,0.74294069911694,2.09874182720502,5.78117709192801,18.4046306121451,31.5394901941658,5.03098841316827,2.29437327837171,2.99117035603211,3.43191786535113,3.71907697151398,4.05214051701594,4.7052208484019,5.87072773137047,0.446453111969482,3.17723029176871,4.1116766207085,6.60845823934702,11.7625744825785,26.6147405301252,75.7655185599277,125.016700147703,19.6954849415136
